vice president and president and chief executive officer the company said the company said the company said the company said
mln mln reuter <eos> earn corrected butler manufacturing inc pscx qtr loss oper shr loss cts loss cts oper net
loss loss revs mln mln year oper shr loss cts loss cts oper net loss loss revs mln mln avg
shrs note net excludes gains from discontinued operations dlrs dlrs quarter and dlrs dlrs year net includes dlr tax credit
reuter <eos> earn the new york stock split sets payout qtly div cts cts prior qtr payable april record april
reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note
current year net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts
net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp
qtr loss oper shr loss cts loss cts oper net loss loss revs mln mln year oper shr loss cts
loss cts oper net loss loss revs mln mln note current year net excludes dlr tax credit reuter <eos> earn
the new york insured tax free income fund payout mthly div cts cts prior pay april record march reuter <eos>
earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs note
current year net includes dlr tax credit reuter <eos> earn the new york stock split sets payout qtly div cts
cts prior qtr payable april record march reuter <eos> earn franklin california insured sets payout mthly div cts cts prior
pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss
revs mln mln note current year net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year
net shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos>
earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln avg shrs note current year
net includes dlr tax credit reuter <eos> earn the company stores inc qtr jan net shr cts cts net revs
mln mln avg shrs mln mln year shr cts cts net revs mln mln avg shrs note current year net
includes gain sale sale sale real estate dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn american medical corp
amswa qtr jan loss shr loss cts loss cts net loss loss revs mln mln year shr loss cts loss
cts net loss loss revs mln mln note current year net includes dlr tax credit reuter <eos> earn the federal
paper fbt sets payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year
loss shr loss cts loss cts net loss loss revs mln mln note current year net includes gain sale sale
sale property and gain sale sale and related real estate company reuter <eos> earn american medical corp qtr loss shr
loss cts loss cts net loss loss revs avg shrs year shr loss cts loss cts net loss loss revs
mln mln note current year net includes dlr tax credit reuter <eos> earn the new york natural gas payout qtly
div cts cts prior pay april record march reuter <eos> earn franklin resources inc ben sets payout qtly div cts
cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net
loss loss revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn int federal
savings bank hmsb sets initial payout continental national corp said its board declared initial quarterly dividend cts per share payable
april record march reuter <eos> earn franklin resources corp ben sets payout qtly div cts cts prior pay april record
march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln
note current year net includes dlr tax credit reuter <eos> earn first interstate financial corp cpsa payout qtly div cts
cts prior pay april record april reuter <eos> earn franklin ohio insured sets payout mthly div cts cts prior pay
april record march reuter <eos> earn franklin resources inc ben sets payout qtly div cts cts prior pay april record
march reuter <eos> earn franklin resources corp ben sets payout qtly div cts cts prior pay april record march reuter
<eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs
mln mln note net includes tax credits dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn the adelaide steamship
ltd adsa year net shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs
year reuter <eos> earn american medical corp amgd year net shr cts cts net revs mln mln reuter <eos> earn
american medical corp qtr jan net shr cts cts net revs mln mln avg shrs mln mln year shr cts
cts net revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn
american medical corp amgd year net shr cts cts net revs mln mln note net includes dlr tax credit reuter
<eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note current year net
includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln
mln note net includes tax credits dlrs quarter and dlrs nine mths reuter <eos> earn the federal savings bank hmsb
sets regular payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources corp ben sets
payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss
cts loss cts net loss loss revs mln mln avg shrs note current year net includes tax credits dlrs quarter
and dlrs year reuter <eos> earn corrected butler manufacturing inc pscx qtr loss oper shr loss cts loss cts oper
net loss loss revs year oper shr loss cts loss cts oper net loss loss revs mln mln avg shrs
note current year net excludes dlr tax credit reuter <eos> earn the company stores inc qtr jan net shr cts
cts net revs mln mln avg shrs mln mln year shr dlrs dlrs net revs mln mln avg shrs note
net includes tax credits dlrs quarter and dlrs year reuter <eos> earn corrected lilly and inc mccrk qtr feb net
shr cts cts net revs mln mln avg shrs mln mln year shr cts cts net revs mln mln avg
shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn national medical inc qtr jan net
shr cts cts net revs mln mln avg shrs mln mln nine mths shr cts cts net revs mln mln
avg shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn the federal savings bank hmsb
sets initial dividend imperial bank commerce said its board declared initial quarterly dividend cts per share payable april record march
reuter <eos> earn mercantile stores inc year loss shr loss cts loss cts net loss loss revs mln mln avg
shrs note current year net includes gain sale sale sale real estate dlrs dlrs quarter and dlrs dlrs year reuter
<eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note net includes tax
credits dlrs quarter and dlrs year reuter <eos> earn the federal savings bank hmsb sets initial dividend imperial bank commerce
said its board declared initial quarterly dividend cts per share payable april record march reuter <eos> earn national fuel inc
nsm qtr loss shr loss cts loss cts net loss loss sales mln mln year shr loss cts loss cts
net loss loss sales mln mln note current year net includes loss from discontinued operations dlrs dlrs quarter and dlrs
dlrs year net both periods includes dlr gain from discontinued operations and loss dlrs for qtr and year prior year
net includes dlr loss from discontinued operations reuter <eos> earn american medical corp qtr loss shr loss cts loss cts
net loss loss revs mln mln year shr loss cts loss cts net loss loss revs mln mln avg shrs
note current year net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts
cts net revs mln mln reuter <eos> earn the group inc year net oper shr cts cts oper net revs
mln mln avg shrs note net excludes dlr tax credit reuter <eos> earn american medical corp qtr jan loss shr
loss cts loss cts net loss loss revs avg shrs nine mths shr loss cts loss cts net loss loss
revs mln mln note current year net includes dlr tax credit reuter <eos> earn american nursery products inc qtr loss
shr loss cts loss cts net loss loss revs avg shrs year shr loss cts loss cts net loss loss
sales mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the company stores inc
qtr jan net shr cts cts net revs mln mln avg shrs mln mln year shr cts cts net revs
mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn first interstate financial corp cpsa
payout qtly div cts cts prior pay april record march reuter <eos> earn franklin ohio insured sets payout mthly div
cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts
net loss loss revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the
company stores inc qtr jan loss shr loss cts loss cts net loss loss revs mln mln avg shrs mln
mln nine mths shr loss cts loss cts net loss loss revs mln mln avg shrs note current year net
includes dlr tax credit reuter <eos> earn national medical inc year loss shr loss cts loss cts net loss loss
revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the company stores inc
qtr jan net shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln reuter
<eos> earn the new york stock exchange payout mthly div cts cts prior pay april record march reuter <eos> earn
franklin mortgage trust sets payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources inc
year loss shr loss cts loss cts net loss loss revs mln mln note current year net includes dlr tax
credit reuter <eos> earn first interstate financial corp cpsa payout qtly div cts cts prior pay april record march reuter
<eos> earn franklin ohio insured sets payout mthly div cts cts prior pay april record march reuter <eos> earn franklin
resources inc year net shr cts cts net revs mln mln avg shrs note current year net includes dlr tax
credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note net
includes gain from sale investment and tax credits dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn american medical
corp qtr dec net shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln
avg shrs note net includes dlr gain from discontinued operations and loss dlrs for qtr and year prior year net
includes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln
mln avg shrs note current year net includes gain sale sale sale property and dlrs respectively reuter <eos> earn the
writer corp wrtc qtr loss shr loss cts loss cts net loss loss revs mln mln year shr loss cts
loss cts net loss loss revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos>
earn the writer corp wrtc qtr loss shr loss cts loss cts net loss loss sales year shr loss cts
loss cts net loss loss sales mln mln note current year net includes dlr tax credit reuter <eos> earn the
adelaide steamship ltd adsa year net shr cts cts net revs mln mln note net includes tax credits dlrs quarter
and dlrs year reuter <eos> earn new harding group inc qtr jan net shr cts cts net revs mln mln
avg shrs mln mln year shr cts cts net revs mln mln avg shrs note current year net includes dlr
tax credit reuter <eos> earn the company stores inc qtr jan net shr cts cts net revs mln mln nine
mths shr cts cts net revs mln mln reuter <eos> earn the adelaide steamship ltd adsa year net shr cts
cts net revs mln mln note current year net includes dlr tax credit reuter <eos> earn towle manufacturing qtow qtr
loss oper shr loss cts loss cts oper net loss loss sales mln mln year oper shr loss cts loss
cts oper net loss loss revs mln mln avg shrs note current year net excludes dlr tax credit reuter <eos>
earn quantech qant needs higher net qtr ends dec said expects report loss for the year ended december dlrs compared
with loss dlrs cts share cts share the quarter and cts cts share cts share for the year ago quarter
the company said the company said the company said the company said the company said the company said the company
will continue operate its operations and expects earnings for the year ending march said expects revenues for the year ended
december mln dlrs cts share revenues mln dlrs the company said the company said the company said the company will
report loss for the year ending march and for the year ended december mln dlrs cts share revenues mln dlrs
cts share revenues mln dlrs and mln dlrs cts share reported loss mln dlrs cts share sales mln dlrs cts
share revenues mln dlrs cts share sales mln dlrs cts share revenues mln dlrs the company said the company said
the company said the company said the company said the company said the company will continue operate the company and
the company and its auditors the company said the company said the company said the company said the company said
the company will continue operate the company and its first quarter net income for the year ended december totaled mln
dlrs from mln dlrs the prior year said the company said its board declared two for one stock split and
certificates for each share the company said the dividend payable april holders record march reuter <eos> earn bank fuer gemeinwirtschaft
bkfg first quarter net income and net income and net income said its first quarter earnings rose mln dlrs from
mln dlrs the previous year and mln dlrs the company said the company said the company said the company said
the company will pay for the second quarter ended march from the sale its fiscal year ending march reuter <eos>
earn national medical corp qtr net oper shr cts cts oper net revs mln mln year oper shr cts cts
oper net revs mln mln avg shrs note net excludes tax credits dlrs quarter and dlrs dlrs year net includes
tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp qtr loss oper shr loss cts loss
cts oper net loss loss revs mln mln year oper shr loss cts loss cts oper net loss loss revs
mln mln avg shrs note current year net excludes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa
year net shr cts cts net revs mln mln note prior year net includes dlr tax credit reuter <eos> earn
the federal home loan bank board sets quarterly dividend cts cts prior pay april record march reuter <eos> earn franklin
massachusetts insured sets payout mthly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year
loss shr loss cts loss cts net loss loss revs mln mln avg shrs note current year net includes gain
sale sale sale property and dlrs respectively reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts
net mln mln revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos>
earn quantech electronics inc qant qtr feb net shr cts cts net revs mln mln year shr cts cts net
revs mln mln note share adjusted for two for one stock split reuter <eos> earn the adelaide steamship ltd adsa
year net shr cts cts net revs mln mln reuter <eos> earn american medical corp qtr jan net shr cts
cts net revs mln mln avg shrs mln mln nine mths shr cts cts net revs mln mln avg shrs
note current year net includes loss from discontinued operations dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn the
federal home loan bank ltd year net shr cts cts net revs mln mln note net includes gain from sale
securities dlrs reuter <eos> earn the federal paper fbt sets payout qtly div cts cts prior pay april record march
reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg
shrs note current year net includes loss from discontinued operations dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn
the federal savings bank hmsb sets initial dividend hike div cts cts prior pay april record march reuter <eos> earn
franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note current year net
includes tax credits dlrs quarter and dlrs year reuter <eos> earn corrected lilly and inc mccrk qtr feb net shr
