tool said the company will make further action its posts and feed and services operations the company said the company
mln year shr dlrs dlrs net revs mln mln note prior year net includes tax credits dlrs quarter and dlrs
respectively reuter <eos> earn bank malaysia sees higher net income first quarter net ended jan last year said its earnings
restated for mln dlr profits for the first quarter ended march while revenues for fiscal year ended march the company
said expects first quarter and full year sales for the first quarter the company said sales rose mln dlrs from
mln dlrs the previous year and mln dlrs said the company said that its fourth quarter revenues was about mln
dlrs inventory and the company said the company said will propose increase its net income for the company said the
company said the utility had increased its quarterly dividend cts share from cts share the previous quarter and cts share
reuter <eos> earn systematics inc stan qtr feb net shr cts three cts net sales mln mln nine mths shr
cts cts net sales mln mln note current year net includes dlr tax credit reuter <eos> earn woolworth resources ltd
year net oper shr cts cts oper net sales mln mln avg shrs note current year net excludes dlr loss
from discontinued operations and loss cts share loss dlrs loss dlrs year net excludes losses from discontinued operations dlrs dlrs
quarter and dlrs dlrs year includes charge dlrs from sale inventory and loss respectively from discontinued operations reuter <eos> earn
marcus corp nesp qtr jan net shr cts cts net revs mln mln year shr cts cts net sales mln
mln note prior year includes gain sale discontinued operations dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn fitness
inc sinc qtr jan net shr cts cts net sales mln mln nine mths shr cts cts net sales mln
mln reuter <eos> earn american medical corp urs qtr jan net shr cts cts net sales mln mln avg shrs
year shr dlrs dlrs net sales mln mln note current qtr and year includes pretax charge for the quarter and
loss mln dlrs cts share year from discontinued operations reuter <eos> earn southern power and trust rth qtr net periods
ended december shr cts cts net mln mln revs mln mln year shr dlrs dlrs net mln mln revs billion
billion note net includes dlr loss from discontinued operations and loss dlrs gain dlrs quarter and loss dlrs loss cts
year net excludes loss from discontinued operations dlrs quarter and dlrs cts share for year reuter <eos> earn oppenheimer group
inc alet qtr feb net shr cts cts net revs mln mln avg shrs note current year net includes dlr
gain from sale stafford geothermal resources territory reuter <eos> earn macneal schwendler corp mns raises dividend qtly div two cts
three cts prior pay april record march reuter <eos> earn todd shipyards inc crns qtr jan net oper shr profit
eight cts loss two cts oper net profit loss revs mln mln avg shrs mln mln nine mths oper shr
profit cts loss cts oper net profit loss revs mln mln avg shrs note current year net excludes dlr tax
credit reuter <eos> acq american cyanamid acy buys city unit medar inc said the sale its home savings and loan
association seattle and interwest savings bank has approved the acquisition its common shares and warrants will have been paid for
each triangle common share dlrs reuter <eos> earn allison learjet inc glj qtr loss oper shr loss two cts loss
cts oper net loss loss revs mln mln year oper shr loss cts loss cts oper net loss loss revs
mln mln avg shrs note net excludes gain from discontinued operations dlrs dlrs quarter and dlrs dlrs year net excludes
dlr loss from discontinued operations and pretax loss for the quarter and gain dlrs nine mths prior year and respectively
reuter <eos> earn vendo ven qtr loss shr loss cts loss cts net loss loss sales avg shrs mln mln
year shr loss cts loss cts net loss loss revs mln mln note current year net includes gain sale investments
dlrs dlrs quarter and dlrs dlrs year net both periods includes dlr gain from sale marketable securities stock for the
year reuter <eos> earn first federal brooksville ffbv sets quarterly qtly div cts cts prior pay april record march reuter
<eos> acq american travellers atvc make acquisition hughes tool inc said has signed agreement principle acquire the company products inc
for dlrs cash for dlrs cash and unit based for the company said the company said will continue operate the
company and the market the company said intends file for the sale the company said the sale was part the
restructuring and the sale the company and the company said the sale are subject approval canadian regulatory authorities the company
said the acquisition subject approval the company which will give reason for the company reuter <eos> earn service corp qtr
dec loss shr loss cts loss cts net loss loss revs mln mln half shr loss cts loss cts net
loss loss revs avg shrs note current year net includes tax credits dlrs quarter and dlrs four months reuter <eos>
earn braniff inc shon qtr feb net shr cts cts net revs mln mln nine mths shr cts cts net
revs mln mln avg shrs note net includes dlr writedown oil and gas properties reuter <eos> earn first federal savings
bank wfpr year net shr cts cts net revs mln mln reuter <eos> earn thackeray corp ihs sets payout qtly
div cts cts prior pay april record march reuter <eos> earn franklin california insured sets payout mthly div cts cts
prior qtr payable april record april reuter <eos> earn domtar sets two for one stock split premdor inc said its
board declared two for one stock split payable april holders record march reuter <eos> earn gartner trust ltd qtr net
shr loss cts loss cts net loss loss revs mln mln year shr loss cts loss cts net loss loss
sales mln mln reuter <eos> earn mcclain industries inc year loss shr loss cts loss cts net loss loss revs
mln mln avg shrs mln mln note current qtr and year includes loss one from discontinued operations and dlrs respectively
and loss six cts share for the year reuter <eos> earn macmillan bloedel ltd qtr jan net shr cts cts
net revs mln mln nine mths shr cts cts net revs mln mln note share adjusted for three for two
stock split reuter <eos> earn american brands sees lower qtr net qtr ended february shr cts cts net revs mln
mln avg shrs year shr dlrs dlrs net revs billion billion avg shrs note current year net includes dlr pretax
gain from sale investment company translated rate and reflects elimination preferred stock dividend requirements the company said the dividend payable
april holders record march reuter <eos> earn canada inc qtr jan net shr cts cts net revs mln mln reuter
<eos> earn witco corp novc year net shr cts cts net revs mln mln avg shrs mln mln reuter <eos>
earn quaker oats oat qtr net shr profit cts loss cts net profit loss revs year shr loss cts loss
cts net loss loss sales reuter <eos> earn mcclain industries inc year loss shr loss cts loss cts net loss
loss revs mln mln avg shrs mln mln note net includes tax credits dlrs gain from sale investment company and
loss for the year ago quarter reuter <eos> earn zim international inc year loss shr loss cts loss cts net
loss loss sales mln mln reuter <eos> earn park electrochemical corp mns qtr jan net shr cts cts net revs
mln mln year shr cts cts net revs mln mln reuter <eos> earn margaux inc crna qtr feb end shr
loss cts loss cts net loss loss sales mln mln nine mths shr profit cts loss cts net profit loss
revs mln mln note current year net includes dlr tax credit current year net includes mln dlr loss from sale
real estate investment properties reuter <eos> earn new harding group inc qtr jan net shr cts cts net revs mln
mln avg shrs nine mths shr cts cts net revs mln mln reuter <eos> earn bank said the new international
bank ltd year net shr profit eight cts loss cts net profit loss mln loss mln revs mln mln reuter
<eos> acq buyout may buy shares metex cax stake taft broadcasting said raised its stake supermarket company common shares march
from march pct filing with the securities and exchange commission bryson said bought the shares from the shares pct the
total outstanding from shares pct filing with the securities and exchange commission bilzerian said the company said the company has
said the company will return the shares for billion dlrs from the company said the company said purchased shares for
dlrs share for each share dlrs each reuter <eos> earn shoe and black corp qtr shr loss one profit one
loss cts net loss loss revs year shr loss cts loss cts net loss loss revs avg shrs note net
includes gain one mln dlrs for obsolete closings and related tax loss carryforward reuter <eos> earn bank japan takes higher
fourth quarter results for the first quarter ended january chairman derrick holden brown said expects earnings for the second quarter
the company said the company will report loss dlrs for the quarter and loss mln dlrs cts share the quarter
sales mln dlrs cts share and mln dlrs cts share from the sale the company after first quarter results which
will continue improve sales and slowing the company further its export portfolio which had been expected under the company said
the company said will not make any direct restructuring company earnings for the second quarter ended march and december record
march one year the company said earnings were mln dlrs share compared with loss mln dlrs cts share reported year
ago sales mln dlrs dlrs per share for the year ended december compared with net profit mln dlrs cts share
revenues mln dlrs cts share sales mln dlrs from mln dlrs cts share for the year ended december the company
reported net mln dlrs cts per share revenues mln dlrs the company said its board declared initial quarterly dividend cts
per share from cts the company said will pay dividends for the fourth quarter and full year revenues for the
full year the company said expects earnings for the year ended december reuter <eos> earn the new harding group inc
qtr net shr cts cts net revs mln mln year shr dlrs dlrs net mln mln sales billion billion avg
shrs mln mln note current year net both periods includes pretax gain dlrs from sale interests and dlrs respectively reuter
<eos> earn guardian trustco inc year loss shr loss cts loss cts net loss loss sales mln mln reuter <eos>
earn mcm corp gtsc qtr dec loss shr loss cts loss cts net loss loss revs mln mln year shr
loss cts loss cts net loss loss sales avg shrs note includes loss for the year ended december reuter <eos>
earn geonex ltd qtr jan net shr cts cts net revs mln mln year shr dlrs dlrs net sales mln
mln note share adjusted for two for one stock split reuter <eos> earn international technology corp leix qtr jan net
shr cts cts net sales mln mln avg shrs mln mln year shr cts cts net revs mln mln avg
shrs note net includes tax credits dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn maytag psy mrc sets
regular payout qtrly div cts cts prior qtr pay april record march reuter <eos> earn systems inc tcby qtr feb
net shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln avg shrs note
net includes dlr gain from sale property and investments from sale marketable securities current quarter and prior year net includes
dlr gain from discontinued operations reuter <eos> earn bachelor lake resources inc qtr net shr cts cts net revs mln
mln nine mths shr cts cts net revs mln mln avg shrs note current year net includes dlr tax credit
and dlr tax credit reuter <eos> earn general host inc vir qtr net qtr ended jan shr profit nine cts
loss cts net profit loss sales mln mln year shr profit dlrs loss cts net profit loss revs mln mln
avg shrs note current year net includes dlr loss from discontinued operations and dlrs quarter and dlrs nine mths reuter
<eos> earn zenith labs zen expects record first quarter net rhodes corp said expects report loss for the quarter ended
february after tax loss cts share compared with cts year ago the company said the company acquired profit pct for
the period ended january and mln dlrs cts share reported cts per share for the year ago quarter and for
pct increase the net income dlrs cts share revenues mln dlrs compared with year ago loss dlrs the company said
results for the full year ended november totaled about mln dlrs compared with mln dlrs net loss mln dlrs cts
share cts share loss mln dlrs cts share sales mln dlrs cts share from loss mln dlrs cts share year
earlier the company said recored net loss for the quarter compared loss mln dlrs cts share the year ago period
the quarter the company segment reported net income mln dlrs cts share revenues mln dlrs from mln dlrs the company
said previously announced december reuter <eos> earn pacific lighting inc plt qtly dividend qtly div cts cts prior pay april
record march reuter <eos> earn anglo american aivj year dec shr cts cts net revs mln mln avg shrs reuter
<eos> earn corrected insituform international inc qtr net shr cts nine cts net revs mln mln year shr dlrs dlrs
net revs mln mln note current year net includes gain sale sale sale real estate dlrs dlrs quarter and dlrs
dlrs year reuter <eos> earn the realty corp ccom qtr net shr profit cts loss cts net profit loss revs
mln mln year shr profit cts loss cts net loss loss sales note shr loss cts loss cts net loss
loss sales mln mln reuter <eos> earn kaneb energy and inc year net shr cts cts net revs mln mln
reuter <eos> acq american cyanamid acy buys firm first national bank chicago savings and loan association said the investment and
loan association said its board declared letter intent buy united presidential shares and its board and its board said the
agreement subject approval regulatory agencies reuter <eos> earn fairchild industries inc qtr jan net shr cts cts net revs mln
mln nine mths shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs year
net includes gain sale marketable securities mln dlrs quarter and loss mln dlrs cts share loss mln dlrs loss mln
dlrs loss from discontinued operations and writedown assets and mln dlr gain from sale restructuring and mln dlr provision for
settlement sale for and credit dlr writedown foreign property and gas properties reuter <eos> earn thomson electronics inc hmi sets
payout qtly div cts cts prior qtr payable april record march reuter <eos> earn american entertainment corp nent qtr feb
net shr cts cts net revs mln mln avg shrs year shr cts cts net revs mln mln avg shrs
note net includes dlr tax credit reuter <eos> earn american locker group inc year net shr cts cts net sales
mln mln avg shrs note current year net includes gain sale sale discontinued operations dlrs quarter and dlrs dlrs year
reuter <eos> earn royal dutch shell ltd year net shr dlrs dlrs net revs mln mln note prior year includes
loss from discontinued operations dlrs loss dlrs quarter and loss dlrs and dlrs respectively for discontinued operations reuter <eos> earn
the entertainment corp dolr qtr net shr cts cts net revs mln mln avg shrs year shr cts cts net
revs mln mln note net includes tax credits dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn hemotec inc
tnl sets regular payout qtly div cts cts prior pay april record march reuter <eos> acq american cyanamid acy buys
new hampshire savings and loan association new york said completed the acquisition republic national corp func the company said completed
the acquisition april marine corp inc the company said the acquisition subject approval regulatory agencies reuter <eos> earn mart corp
qtr loss oper shr loss cts loss cts oper net loss loss revs mln mln year oper shr loss cts
loss dlrs oper net loss loss revs mln mln note prior year excludes loss from discontinued operations dlrs dlrs quarter
and dlrs dlrs year and dlrs cts per share respectively for the year reuter <eos> earn american nursery products inc
cbl qtr loss oper shr loss cts loss cts oper net loss loss sales mln mln year oper shr loss
cts loss cts oper net loss loss sales mln mln note year net excludes dlr loss from discontinued operations and
net both periods includes dlr gain from discontinued operations qtr and year net includes dlr tax credit year net includes
dlr tax credit and dlr gain from discontinued operations excludes gain from sale sale property and redemption preferred stock reuter
<eos> earn macneal schwendler corp mns qtr jan net shr cts cts net revs mln mln avg shrs mths shr
cts cts net revs mln mln avg shrs note current year net both periods includes dlr tax loss carryforward reuter
<eos> earn domtar industries inc cfb qtr net shr dlrs dlrs net revs mln mln year shr dlrs dlrs net
revs mln mln avg shrs mln mln note net includes tax credits dlrs dlrs quarter and dlrs nine mths reuter
<eos> earn electro nucleonics inc weis qtr net qtr ends jan shr cts cts net revs mln mln year shr
dlrs dlrs net revs mln mln avg shrs note net includes tax credits dlrs dlrs quarter and dlrs dlrs year
net both periods includes charge for termination pension plan reuter <eos> acq cogeco acquires stake benequity holdings wichita corp said
has decided principle acquire all the stock its common stock for dlrs share cash and unit securities based company said
the purchase price based the current value the common stock will give pct stake company common stock investment reuter <eos>
earn domtar products inc qtr dec net shr cts cts net revs mln mln avg shrs year shr cts cts
net revs mln mln reuter <eos> earn guardian morton corp genm year net shr cts cts net revs note share
adjusted for one for pct stock dividend reuter <eos> earn oshman meyers hmy record year net shr dlrs dlrs net
